Symbol,Date,Close
PLTR,1/3/2022,18.53
PLTR,1/4/2022,18.17
PLTR,1/5/2022,16.96
PLTR,1/6/2022,16.74
PLTR,1/7/2022,16.56
PLTR,1/10/2022,16.5
PLTR,1/11/2022,16.89
PLTR,1/12/2022,16.72
PLTR,1/13/2022,16.01
PLTR,1/14/2022,16.01
PLTR,1/18/2022,14.97
PLTR,1/19/2022,14.56
PLTR,1/20/2022,14.62
PLTR,1/21/2022,13.53
PLTR,1/24/2022,13.4
PLTR,1/25/2022,13.06
PLTR,1/26/2022,12.75
PLTR,1/27/2022,12.28
PLTR,1/28/2022,12.71
PLTR,1/31/2022,13.71
PLTR,2/1/2022,14.2
PLTR,2/2/2022,13.32
PLTR,2/3/2022,12.45
PLTR,2/4/2022,12.94
PLTR,2/7/2022,12.98
PLTR,2/8/2022,13.15
PLTR,2/9/2022,13.87
PLTR,2/10/2022,13.56
PLTR,2/11/2022,13.13
PLTR,2/14/2022,13.26
PLTR,2/15/2022,14.17
PLTR,2/16/2022,13.97
PLTR,2/17/2022,11.77
PLTR,2/18/2022,11.02
PLTR,2/22/2022,10.48
PLTR,2/23/2022,10.43
PLTR,2/24/2022,11.83
PLTR,2/25/2022,11.47
PLTR,2/28/2022,11.85
PLTR,3/1/2022,12.18
PLTR,3/2/2022,12.06
PLTR,3/3/2022,11.34
PLTR,3/4/2022,10.96
PLTR,3/7/2022,11.11
PLTR,3/8/2022,11.04
PLTR,3/9/2022,11.65
PLTR,3/10/2022,11.87
PLTR,3/11/2022,11.39
PLTR,3/14/2022,10.5
PLTR,3/15/2022,10.77
PLTR,3/16/2022,11.79
PLTR,3/17/2022,12.32
PLTR,3/18/2022,12.82
PLTR,3/21/2022,12.59
PLTR,3/22/2022,13.27
PLTR,3/23/2022,13.18
PLTR,3/24/2022,13.39
PLTR,3/25/2022,12.97
PLTR,3/28/2022,13.42
PLTR,3/29/2022,14.2
PLTR,3/30/2022,13.88
PLTR,3/31/2022,13.73
PLTR,4/1/2022,13.83
PLTR,4/4/2022,14.63
PLTR,4/5/2022,13.89
PLTR,4/6/2022,13
PLTR,4/7/2022,12.84
PLTR,4/8/2022,12.7
PLTR,4/11/2022,12.66
PLTR,4/12/2022,12.46
PLTR,4/13/2022,12.9
PLTR,4/14/2022,12.42
PLTR,4/18/2022,12.15
PLTR,4/19/2022,12.91
PLTR,4/20/2022,12.79
PLTR,4/21/2022,12.33
PLTR,4/22/2022,11.96
PLTR,4/25/2022,12.11
PLTR,4/26/2022,11.12
PLTR,4/27/2022,10.56
PLTR,4/28/2022,10.95
PLTR,4/29/2022,10.4
PLTR,5/2/2022,10.74
PLTR,5/3/2022,10.55
PLTR,5/4/2022,10.98
PLTR,5/5/2022,10.12
PLTR,5/6/2022,9.48
PLTR,5/9/2022,7.46
PLTR,5/10/2022,7.29
PLTR,5/11/2022,6.71
PLTR,5/12/2022,7.34
PLTR,5/13/2022,8.34
PLTR,5/16/2022,8.04
PLTR,5/17/2022,8.36
PLTR,5/18/2022,8.01
PLTR,5/19/2022,8.31
PLTR,5/20/2022,8.08
PLTR,5/23/2022,8.01
PLTR,5/24/2022,7.55
PLTR,5/25/2022,7.96
PLTR,5/26/2022,8.36
PLTR,5/27/2022,8.85
PLTR,5/31/2022,8.68
PLTR,6/1/2022,8.46
