Symbol,Date,Close
S&P 500,1/3/2022,4796.56
S&P 500,1/4/2022,4793.54
S&P 500,1/5/2022,4700.58
S&P 500,1/6/2022,4696.05
S&P 500,1/7/2022,4677.03
S&P 500,1/10/2022,4670.29
S&P 500,1/11/2022,4713.07
S&P 500,1/12/2022,4726.35
S&P 500,1/13/2022,4659.03
S&P 500,1/14/2022,4662.85
S&P 500,1/18/2022,4577.11
S&P 500,1/19/2022,4532.76
S&P 500,1/20/2022,4482.73
S&P 500,1/21/2022,4397.94
S&P 500,1/24/2022,4410.13
S&P 500,1/25/2022,4356.45
S&P 500,1/26/2022,4349.93
S&P 500,1/27/2022,4326.51
S&P 500,1/28/2022,4431.85
S&P 500,1/31/2022,4515.55
S&P 500,2/1/2022,4546.54
S&P 500,2/2/2022,4589.38
S&P 500,2/3/2022,4477.44
S&P 500,2/4/2022,4500.53
S&P 500,2/7/2022,4483.87
S&P 500,2/8/2022,4521.54
S&P 500,2/9/2022,4587.18
S&P 500,2/10/2022,4504.08
S&P 500,2/11/2022,4418.64
S&P 500,2/14/2022,4401.67
S&P 500,2/15/2022,4471.07
S&P 500,2/16/2022,4475.01
S&P 500,2/17/2022,4380.26
S&P 500,2/18/2022,4348.87
S&P 500,2/22/2022,4304.76
S&P 500,2/23/2022,4225.5
S&P 500,2/24/2022,4288.7
S&P 500,2/25/2022,4384.65
S&P 500,2/28/2022,4373.94
S&P 500,3/1/2022,4306.26
S&P 500,3/2/2022,4386.54
S&P 500,3/3/2022,4363.49
S&P 500,3/4/2022,4328.87
S&P 500,3/7/2022,4201.09
S&P 500,3/8/2022,4170.7
S&P 500,3/9/2022,4277.88
S&P 500,3/10/2022,4259.52
S&P 500,3/11/2022,4204.31
S&P 500,3/14/2022,4173.11
S&P 500,3/15/2022,4262.45
S&P 500,3/16/2022,4357.86
S&P 500,3/17/2022,4411.67
S&P 500,3/18/2022,4463.12
S&P 500,3/21/2022,4461.18
S&P 500,3/22/2022,4511.61
S&P 500,3/23/2022,4456.24
S&P 500,3/24/2022,4520.16
S&P 500,3/25/2022,4543.06
S&P 500,3/28/2022,4575.52
S&P 500,3/29/2022,4631.6
S&P 500,3/30/2022,4602.45
S&P 500,3/31/2022,4530.41
S&P 500,4/1/2022,4545.86
S&P 500,4/4/2022,4582.64
S&P 500,4/5/2022,4525.12
S&P 500,4/6/2022,4481.15
S&P 500,4/7/2022,4500.21
S&P 500,4/8/2022,4488.28
S&P 500,4/11/2022,4412.53
S&P 500,4/12/2022,4397.45
S&P 500,4/13/2022,4446.59
S&P 500,4/14/2022,4392.59
S&P 500,4/18/2022,4391.69
S&P 500,4/19/2022,4462.21
S&P 500,4/20/2022,4459.45
S&P 500,4/21/2022,4393.66
S&P 500,4/22/2022,4271.78
S&P 500,4/25/2022,4296.12
S&P 500,4/26/2022,4175.2
S&P 500,4/27/2022,4183.96
S&P 500,4/28/2022,4287.5
S&P 500,4/29/2022,4131.93
S&P 500,5/2/2022,4155.38
S&P 500,5/3/2022,4175.48
S&P 500,5/4/2022,4300.17
S&P 500,5/5/2022,4146.87
S&P 500,5/6/2022,4123.34
S&P 500,5/9/2022,3991.24
S&P 500,5/10/2022,4001.05
S&P 500,5/11/2022,3935.18
S&P 500,5/12/2022,3930.08
S&P 500,5/13/2022,4023.89
S&P 500,5/16/2022,4008.01
S&P 500,5/17/2022,4088.85
S&P 500,5/18/2022,3923.68
S&P 500,5/19/2022,3900.79
S&P 500,5/20/2022,3901.36
S&P 500,5/23/2022,3973.75
S&P 500,5/24/2022,3941.48
S&P 500,5/25/2022,3978.73
S&P 500,5/26/2022,4057.84
S&P 500,5/27/2022,4158.24
S&P 500,5/31/2022,4132.15
S&P 500,6/1/2022,4101.23
S&P 500,6/2/2022,4176.82
S&P 500,6/3/2022,4108.54
S&P 500,6/6/2022,4121.43
S&P 500,6/7/2022,4160.68
S&P 500,6/8/2022,4115.77
S&P 500,6/9/2022,4017.82
S&P 500,6/10/2022,3900.86
S&P 500,6/13/2022,3749.63
S&P 500,6/14/2022,3735.48
S&P 500,6/15/2022,3789.99
S&P 500,6/16/2022,3666.77
S&P 500,6/17/2022,3674.84
S&P 500,6/21/2022,3764.79
S&P 500,6/22/2022,3759.89
S&P 500,6/23/2022,3795.73
S&P 500,6/24/2022,3911.74
S&P 500,6/27/2022,3900.11
S&P 500,6/28/2022,3821.55
S&P 500,6/29/2022,3818.83
S&P 500,6/30/2022,3785.38
S&P 500,7/1/2022,3825.33
S&P 500,7/5/2022,3831.39
S&P 500,7/6/2022,3845.08
S&P 500,7/7/2022,3902.62
S&P 500,7/8/2022,3899.38
S&P 500,7/11/2022,3854.43
S&P 500,7/12/2022,3818.8
S&P 500,7/13/2022,3801.78
S&P 500,7/14/2022,3790.38
S&P 500,7/15/2022,3863.16
S&P 500,7/18/2022,3830.85
S&P 500,7/19/2022,3936.69
S&P 500,7/20/2022,3959.9
S&P 500,7/21/2022,3998.95
S&P 500,7/22/2022,3961.63
S&P 500,7/25/2022,3966.84
S&P 500,7/26/2022,3921.05
S&P 500,7/27/2022,4023.61
S&P 500,7/28/2022,4072.43
S&P 500,7/29/2022,4130.29
S&P 500,8/1/2022,4118.63
S&P 500,8/2/2022,4091.19
S&P 500,8/3/2022,4155.17
S&P 500,8/4/2022,4151.94
S&P 500,8/5/2022,4145.19
S&P 500,8/8/2022,4140.06
S&P 500,8/9/2022,4122.47
S&P 500,8/10/2022,4210.24
S&P 500,8/11/2022,4207.27
S&P 500,8/12/2022,4280.15
S&P 500,8/15/2022,4297.14
S&P 500,8/16/2022,4305.2
S&P 500,8/17/2022,4274.04
S&P 500,8/18/2022,4283.74
S&P 500,8/19/2022,4228.48
S&P 500,8/22/2022,4137.99
S&P 500,8/23/2022,4128.73
S&P 500,8/24/2022,4140.77
S&P 500,8/25/2022,4199.12
S&P 500,8/26/2022,4057.66
S&P 500,8/29/2022,4030.61
S&P 500,8/30/2022,3986.16
S&P 500,8/31/2022,3955
S&P 500,9/1/2022,3966.85
S&P 500,9/2/2022,3924.26
S&P 500,9/6/2022,3908.19
S&P 500,9/7/2022,3979.87
S&P 500,9/8/2022,4006.18
S&P 500,9/9/2022,4067.36
S&P 500,9/12/2022,4110.41
S&P 500,9/13/2022,3932.69
